Year,Income Quintile 1,Income Quintile 2,Income Quintile 3,Income Quintile 4,Income Quintile 5,Real Price of Gasoline,Annual Vehicle Miles,Vehicle Fuel Efficiency,Real U.S. GDP,Threat of Climate Change,Unemployment %
1984,559,797,1056,1301,1649,3.539,1657857,27,4.03761E+12,,8
1985,538,781,1011,1319,1578,3.378,1720246,27.5,4.33898E+12,,7.3
1986,488,657,905,1167,1395,2.577,1787798,26,4.57963E+12,,6.7
1987,372,641,891,1120,1382,2.522,1857631,26,4.85522E+12,,6.6
1988,459,659,926,1204,1420,2.412,1939041,26,5.23644E+12,,5.7
1989,465,700,998,1217,1555,2.483,2041441,26.5,5.64158E+12,,5.4
1990,521,747,1068,1321,1613,2.666,2117716,27.5,5.96314E+12,,5.4
1991,471,721,1011,1271,1514,2.542,2141582,27.5,6.15813E+12,,6.4
1992,454,705,974,1218,1510,2.434,2188830,27.5,6.52033E+12,,7.3
1993,450,681,1001,1223,1529,2.338,2253820,27.5,6.85856E+12,,7.3
1994,490,711,1004,1253,1489,2.280,2297939,27.5,7.28724E+12,,6.6
1995,470,716,985,1275,1621,2.294,2386720,27.5,7.63975E+12,,5.6
1996,524,776,1065,1430,1732,2.388,2417911,27.5,8.07312E+12,,5.6
1997,521,818,1081,1420,1710,2.345,2496251,27.5,8.57755E+12,25,5.3
1998,500,740,1003,1311,1595,1.980,2570334,27.5,9.06282E+12,,4.6
1999,505,759,1079,1350,1661,2.120,2626392,27.5,9.63117E+12,,4.3
2000,631,965,1297,1631,2053,2.658,2697095,27.5,1.02509E+13,,4
2001,599,933,1253,1617,2043,2.542,2754784,27.5,1.05819E+13,31,4.2
2002,581,907,1245,1569,1957,2.309,2808501,27.5,1.09291E+13,33,5.7
2003,614,981,1352,1736,2083,2.657,2854268,27.5,1.14564E+13,,5.8
2004,730,1157,1579,2020,2500,3.027,2904170,27.5,1.22172E+13,,5.7
2005,882,1485,1997,2518,3182,3.580,2972672,27.5,1.30392E+13,,5.3
2006,991,1624,2182,2829,3508,3.935,2999380,27.5,1.38156E+13,35,4.7
2007,1046,1768,2418,2988,3696,4.089,3012977,27.5,1.44742E+13,,4.6
2008,1243,2019,2704,3418,4186,4.768,3031224,27.5,,40,5
2009,926,1498,1982,2457,3067,3.337,2962426,27.5,1.47699E+13,38,7.8
2010,1009,1598,2180,2634,3240,3.903,2945064,27.5,1.44781E+13,,9.8
2011,1227,1981,2694,3295,4073,4.797,2973046,30.4,1.5049E+13,32,9.1
2012,1222,2013,2745,3494,4305,4.883,2958872,33.3,1.55997E+13,38,8.3
2013,1231,1850,2622,3284,4071,4.654,2968068,34.2,1.6254E+13,34,8
2014,1160,1842,2437,3111,3789,4.444,2983420,34.9,1.68432E+13,36,6.6
2015,939,1532,2110,2632,3226,3.182,3036013,36.2,1.75507E+13,37,5.7
2016,902,1408,1909,2435,2895,2.720,3107344,37.8,1.8206E+13,41,4.8
2017,920,1499,1930,2497,2994,3.010,3179963,39.6,1.86951E+13,42,4.7
2018,986,1571,2072,2610,3304,2.735,3216598,41.1,1.94773E+13,45,4
2019,998,1601,2079,2593,3193,3.142,3248548,42.5,2.05331E+13,45,4
2020,817,1253,1624,1953,2199,2.561,3284596,44.2,2.1381E+13,45,3.6
2021,1111,1702,2184,2657,3074,3.355,2832199,46.1,2.10605E+13,43,6.4
2022,1553,2360,3166,3919,4601,4.217,3171317,48.2,2.33151E+13,45,4
